Source,Target,Weight
20,7,0.0008269272154297
20,25,0.0047376523146311
20,24,0.004598429633484
20,21,0.0002513540223034
20,6,0.0186387572231688
20,19,0.0135993387925932
20,13,0.0077548773062936
20,17,0.0141663592952455
20,18,0.0018481716339771
20,29,1.06567393380885e-05
20,23,0.0001248648467857
20,11,0.0051703314032653
20,5,0.003020230857226
20,8,0.0001430738907739
20,30,0.0060095922821776
20,16,0.0073702052931583
20,15,0.0079234476472382
20,9,0.0085859087806845
20,3,5.26429144187546e-05
20,22,0.0003841627982268
20,27,0.0024254697031853
20,1,3.67304493860132e-05
20,14,0.0093078827962784
20,28,0.0157846799975996
20,26,0.0005561338275281
20,12,0.0030200832558033
20,4,0.007736194464865
20,2,0.0053947021991138
20,10,0.000372067372945
7,20,0.0149184920348251
7,25,0.0083092632523218
7,24,0.0010215996735034
7,21,0.0021102441588372
7,6,0.0058265921350351
7,19,0.0001521779347797
7,13,0.0183532892775009
7,17,0.0031052027685074
7,18,0.0032138472610459
7,29,0.0005239314225491
7,23,0.0002084280247629
7,11,0.0014117856780071
7,5,0.0005307506682115
7,8,0.0275383747422673
7,30,6.70803898898953e-05
7,16,0.0049485226074175
7,15,0.0001133446191943
7,9,0.0023739708225534
7,3,0.0025935207695067
7,22,0.0348746086895542
7,27,0.0078538635998945
7,1,0.000577207740287
7,14,0.001856299606608
7,28,0.0021330190530601
7,26,0.0008055353109703
7,12,0.0046089647553611
7,4,0.0003358156310273
7,2,3.74945807291027e-05
7,10,0.0054961718065644
25,20,0.0025298553295112
25,7,0.0010746247076447
25,24,0.007311759076229
25,21,0.0003695049656808
25,6,0.0023767519757491
25,19,0.0016984802798898
25,13,0.0045076722110781
25,17,0.0098122823420698
25,18,0.0042785978677919
25,29,0.0004014457752923
25,23,0.0090993008495114
25,11,0.003403032286446
25,5,0.0007814216860566
25,8,0.0089816946822729
25,30,0.0277919474817452
25,16,0.0113973984046272
25,15,0.0005853674815181
25,9,0.0055810944831264
25,3,0.0053261120510601
25,22,6.18241859342561e-05
25,27,0.000917031731781
25,1,0.0006875154339596
25,14,0.0204808508083865
25,28,0.0098914829294827
25,26,0.0168422342479637
25,12,0.0171533238483796
25,4,0.0034493861693736
25,2,7.05632052149241e-05
25,10,0.0071274403540204
24,20,0.0023008570546725
24,7,0.0059232669567101
24,25,0.0018314236940497
24,21,0.0041308649649121
24,6,0.0024588021347522
24,19,0.0003095254130354
24,13,0.0217837317776617
24,17,0.006474466383306
24,18,0.0064987488476582
24,29,0.0156899884807036
24,23,0.0031552502926768
24,11,0.0032667593831785
24,5,0.0009451871770647
24,8,0.0007790337770181
24,30,0.0005147856158984
24,16,0.0037768990753726
24,15,0.0048493099411892
24,9,0.002246682392359
24,3,0.0001443611593003
24,22,0.0110219388490069
24,27,0.002247254295554
24,1,0.0015358499436626
24,14,7.7201749366651e-06
24,28,0.0006027991709398
24,26,0.0008442431103858
24,12,0.0198736749728106
24,4,0.0007191326502056
24,2,0.0038310952891951
24,10,0.0001208412586173
21,20,0.0142008630843442
21,7,0.0027906486364521
21,25,0.0074072024241669
21,24,0.000197747755859
21,6,0.0116953201862149
21,19,0.0006638844184632
21,13,0.0012827151745469
21,17,0.0040852211260702
21,18,0.0079867224278817
21,29,0.0085259866864504
21,23,3.94643992542854e-05
21,11,0.0001729185686158
21,5,0.0003373467457361
21,8,0.0150307215011924
21,30,0.019769105588562
21,16,0.0001562097544187
21,15,0.0062666532784714
21,9,0.0002218906008142
21,3,0.0216155471164949
21,22,0.0019040056749606
21,27,0.0066786225942259
21,1,0.0010575058623452
21,14,0.0016212151851409
21,28,8.8583397804598e-05
21,26,0.0328929051421252
21,12,0.0312651944934466
21,4,0.001546491292526
21,2,5.87573657266915e-05
21,10,0.0037046265159492
6,20,0.0017184892484039
6,7,0.0004400036054619
6,25,0.0023682932589128
6,24,0.0006271550122214
6,21,0.0039072329709455
6,19,0.0099600886835951
6,13,3.26233984004887e-06
6,17,0.0028015131327894
6,18,0.0002323922433991
6,29,0.0200745387329917
6,23,0.0005857224095873
6,11,0.0012755495462553
6,5,1.23449302638079e-05
6,8,0.0019474045983844
6,30,0.0005238218657801
6,16,0.0012975085209809
6,15,0.0036801078767254
6,9,0.0119370861689045
6,3,0.0016492295551238
6,22,4.19783515646088e-05
6,27,0.0003728481771165
6,1,0.0008301439522497
6,14,0.0011424307378877
6,28,0.0006634887634362
6,26,0.0159174254146208
6,12,0.0056590008439059
6,4,0.0048752092344734
6,2,0.0018011326596862
6,10,0.000643171693051
19,20,0.0004127585494035
19,7,0.0026185950857193
19,25,0.0034519888417197
19,24,0.0044570615882317
19,21,0.0014029489740004
19,6,0.0003576572995083
19,13,0.0007316123971836
19,17,0.0064422073594894
19,18,0.0006466937253257
19,29,0.0114972187490832
19,23,0.0044421339755782
19,11,0.0004184787694203
19,5,0.0003919011233826
19,8,0.0030714742481521
19,30,0.0078503103913814
19,16,1.39726212164959e-05
19,15,0.0027904750849057
19,9,0.0462591392230234
19,3,0.0024450376595659
19,22,3.10956969702403e-05
19,27,0.0024295709450896
19,1,0.0067362839993343
19,14,0.0113665983772542
19,28,0.0001000516882143
19,26,0.012224390085704
19,12,0.0080507697208229
19,4,8.49117393695309e-05
19,2,0.0022649611783229
19,10,0.0037871219558027
13,20,0.0007064909843172
13,7,0.0019735203936743
13,25,0.0015208577938885
13,24,4.26644182560665e-06
13,21,0.0051465653963198
